stem,cache_path,expected_from_audio
001_comp,001_comp.npy,True
001_ori,001_ori.npy,True
002_ori,002_ori.npy,True
003_comp,003_comp.npy,True
003_ori,003_ori.npy,True
004_comp,004_comp.npy,True
004_ori,004_ori.npy,True
005_comp,005_comp.npy,True
005_ori,005_ori.npy,True
006_comp,006_comp.npy,True
006_ori,006_ori.npy,True
007_comp,007_comp.npy,True
007_ori,007_ori.npy,True
008_comp,008_comp.npy,True
008_ori,008_ori.npy,True
009_comp,009_comp.npy,True
009_ori,009_ori.npy,True
010_comp,010_comp.npy,True
010_ori,010_ori.npy,True
011_comp,011_comp.npy,True
011_ori,011_ori.npy,True
012_comp,012_comp.npy,True
012_ori,012_ori.npy,True
013_comp,013_comp.npy,True
013_ori,013_ori.npy,True
014_comp,014_comp.npy,True
014_ori,014_ori.npy,True
015_comp,015_comp.npy,True
015_ori,015_ori.npy,True
016_comp,016_comp.npy,True
016_ori,016_ori.npy,True
017_comp,017_comp.npy,True
017_ori,017_ori.npy,True
018_comp,018_comp.npy,True
018_ori,018_ori.npy,True
019_comp,019_comp.npy,True
019_ori,019_ori.npy,True
020_comp,020_comp.npy,True
020_ori,020_ori.npy,True
021_comp,021_comp.npy,True
021_ori,021_ori.npy,True
022_comp,022_comp.npy,True
022_ori,022_ori.npy,True
023_comp,023_comp.npy,True
024_comp,024_comp.npy,True
024_ori,024_ori.npy,True
025_comp,025_comp.npy,True
025_ori,025_ori.npy,True
026_comp,026_comp.npy,True
027_comp,027_comp.npy,True
027_ori,027_ori.npy,True
028_ori,028_ori.npy,True
029_comp,029_comp.npy,True
029_ori,029_ori.npy,True
030_comp,030_comp.npy,True
031_comp,031_comp.npy,True
032_comp,032_comp.npy,True
032_ori,032_ori.npy,True
033_comp,033_comp.npy,True
033_ori,033_ori.npy,True
034_comp,034_comp.npy,True
034_ori,034_ori.npy,True
035_comp,035_comp.npy,True
035_ori,035_ori.npy,True
036_comp,036_comp.npy,True
036_ori,036_ori.npy,True
037_comp,037_comp.npy,True
037_ori,037_ori.npy,True
038_ori,038_ori.npy,True
039_comp,039_comp.npy,True
039_ori,039_ori.npy,True
040_ori,040_ori.npy,True
041_comp,041_comp.npy,True
041_ori,041_ori.npy,True
042_comp,042_comp.npy,True
042_ori,042_ori.npy,True
043_comp,043_comp.npy,True
043_ori,043_ori.npy,True
044_comp,044_comp.npy,True
044_ori,044_ori.npy,True
045_comp,045_comp.npy,True
045_ori,045_ori.npy,True
046_ori,046_ori.npy,True
047_comp,047_comp.npy,True
047_ori,047_ori.npy,True
048_comp,048_comp.npy,True
049_comp,049_comp.npy,True
049_ori,049_ori.npy,True
050_comp,050_comp.npy,True
050_ori,050_ori.npy,True
051_comp,051_comp.npy,True
051_ori,051_ori.npy,True
052_comp,052_comp.npy,True
052_ori,052_ori.npy,True
053_comp,053_comp.npy,True
053_ori,053_ori.npy,True
054_comp,054_comp.npy,True
054_ori,054_ori.npy,True
055_comp,055_comp.npy,True
055_ori,055_ori.npy,True
056_comp,056_comp.npy,True
056_ori,056_ori.npy,True
057_comp,057_comp.npy,True
057_ori,057_ori.npy,True
058_comp,058_comp.npy,True
058_ori,058_ori.npy,True
059_ori,059_ori.npy,True
060_comp,060_comp.npy,True
060_ori,060_ori.npy,True
061_comp,061_comp.npy,True
061_ori,061_ori.npy,True
062_comp,062_comp.npy,True
062_ori,062_ori.npy,True
063_comp,063_comp.npy,True
063_ori,063_ori.npy,True
064_comp,064_comp.npy,True
064_ori,064_ori.npy,True
065_comp,065_comp.npy,True
065_ori,065_ori.npy,True
066_comp,066_comp.npy,True
066_ori,066_ori.npy,True
067_comp,067_comp.npy,True
068_comp,068_comp.npy,True
069_comp,069_comp.npy,True
069_ori,069_ori.npy,True
070_comp,070_comp.npy,True
070_ori,070_ori.npy,True
