seed,relation,n_pos,n_neg,roc_auc,f1
123,plag,8,8,0.84375,0.7368421052631579
123,plag_doubt,2,1,0.5,0.0
123,remake,4,4,0.6875,0.7272727272727273
456,plag,3,3,0.7777777777777779,0.8571428571428571
456,plag_doubt,6,6,0.5,0.0
456,remake,5,5,0.7600000000000001,0.8
789,plag,5,5,0.6000000000000001,0.6666666666666666
789,plag_doubt,4,4,0.625,0.0
789,remake,5,5,0.6399999999999999,0.75
1011,plag,6,6,0.7222222222222223,0.6153846153846154
1011,remake,7,7,0.8571428571428571,0.8571428571428571
2024,plag,6,6,0.5277777777777778,0.5454545454545454
2024,plag_doubt,4,4,0.5625,0.0
2024,remake,4,4,0.875,0.8
3031,plag,8,8,0.765625,0.6666666666666666
3031,plag_doubt,3,3,0.33333333333333337,0.0
3031,remake,3,3,1.0,0.75
4049,plag,7,7,0.6734693877551021,0.6666666666666666
4049,plag_doubt,3,3,0.7777777777777778,0.0
4049,remake,4,4,0.9375,0.8571428571428571
5051,plag,7,7,0.8571428571428571,0.75
5051,plag_doubt,4,4,0.3125,0.0
5051,remake,3,3,0.7777777777777778,0.8
6067,plag,5,5,0.9600000000000001,0.7692307692307693
6067,plag_doubt,4,4,0.75,0.0
6067,remake,5,5,0.76,0.6
7079,plag,5,5,0.8400000000000001,0.7142857142857143
7079,plag_doubt,4,4,0.6875,0.0
7079,remake,5,5,0.72,0.5714285714285714
